SID,LastLat,LastLon,LastWind,LandfallLat,LandfallLon,LastDir,LastSpeed
1921245N23080,23.4757,79.7037,0.0,23.5485,78.8761,276.0,13.0
1921258N18086,26.845,78.7988,0.0,26.9,78.9,53.0,2.0
1921277N11097,14.5163,78.9336,0.0,14.6358,78.4274,285.0,10.0
1921297N12086,20.547,89.8517,0.0,20.7,90.0,42.0,4.0
1921310N11089,16.8696,92.4232,0.0,17.1,92.8,57.0,10.0
1921361N05086,5.56866,78.703,0.0,5.57731,78.6113,96.0,1.0
1922109N09093,18.9802,90.4415,0.0,19.2,90.5,15.0,5.0
1922188N20089,24.6637,83.2348,0.0,24.8,83.1,318.0,4.0
1922208N21088,24.217,80.567,0.0,24.3,80.5,327.0,2.0
1922214N23088,25.1168,83.3273,0.0,25.2,83.2,307.0,4.0
1922231N21088,25.4899,79.0439,0.0,25.6021,78.1609,280.0,16.0
1922251N19088,21.6818,80.3743,0.0,21.9,79.9,296.0,12.0
1922265N20088,23.8221,87.8436,0.0,23.9,88.0,63.0,4.0
1922288N10091,14.6157,82.9105,0.0,14.7,82.8,311.0,3.0
1922312N14097,19.4074,92.9528,0.0,19.7,93.0,10.0,7.0
1922321N12096,16.2265,81.9461,0.0,16.3,81.7,287.0,6.0
1922329N09089,8.20656,78.172,0.0,8.23821,78.0849,281.0,2.0
1922340N08091,17.8848,92.7528,0.0,18.0,93.0,64.0,6.0
1923006N06092,8.7146,79.1031,0.0,8.9,79.1,0.0,5.0
1923117N14093,17.3468,91.3104,0.0,17.6,91.3,0.0,6.0
1923122N14085,21.0595,91.8104,0.0,21.1,92.0,78.0,4.0
1923185N23086,24.5255,78.5615,0.0,24.7137,78.2462,299.0,7.0
1923200N19087,22.7034,80.74,0.0,22.8,80.2,281.0,12.0
1923209N23091,24.744,79.3096,0.0,24.8,79.2,302.0,3.0
1923217N23089,25.9307,78.511,0.0,26.1,78.2,303.0,7.0
1923222N22091,23.2872,82.123,0.0,23.4,81.9,298.0,6.0
1923227N21089,23.6574,84.7074,0.0,23.7,84.6,292.0,2.0
1923233N21090,23.9565,79.1501,0.0,24.0,79.0,286.0,4.0
1923258N15086,27.7474,80.9928,0.0,27.9,81.2,49.0,5.0
1923271N17086,25.1035,81.703,0.0,25.2,81.9,61.0,5.0
1923300N09083,16.5604,82.1457,0.0,16.7,82.2,23.0,4.0
1923314N10090,20.2364,87.1989,0.0,20.3,87.3,56.0,3.0
1923356N08087,10.8813,87.075,0.0,11.0,87.1,14.0,3.0
1924069N07093,10.5938,91.0323,0.0,10.7,91.0,342.0,3.0
1924118N10096,13.975,94.0479,0.0,14.1,94.1,23.0,3.0
1924140N14094,20.2313,91.7009,0.0,20.3,91.8,54.0,3.0
1924166N18091,23.2887,91.3471,0.0,23.4,91.2,310.0,4.0
1924216N21090,25.738,78.5968,0.0,25.8,78.3,284.0,7.0
1924238N19089,24.0713,78.7513,0.0,24.2206,78.208,287.0,9.0
1924244N13096,26.7695,78.2562,0.0,26.7795,78.1127,277.0,2.0
1924267N09089,28.606,78.7658,0.0,28.9,79.1,45.0,10.0
1924275N15088,18.003,81.8827,0.0,18.2,81.6,306.0,8.0
1924283N15093,21.1527,78.4325,0.0,26.9,78.1,284.0,11.0
1924292N14092,21.9917,91.4209,0.0,22.2,91.4,353.0,5.0
1924309N09086,17.2127,82.4853,0.0,17.3,82.7,66.0,6.0
1924319N11089,18.6834,84.9386,0.0,18.8,84.9,344.0,3.0
1925012N04079,4.48565,78.4013,0.0,4.5668,78.1593,286.0,5.0
1925071N06079,11.4469,80.7834,0.0,11.5,80.7,309.0,2.0
1925100N14094,16.9628,94.572,0.0,17.0,94.8,80.0,5.0
1925132N11092,25.2022,90.8903,0.0,25.4,91.2,54.0,8.0
1925153N19071,25.4878,79.8721,0.0,25.7,80.2,54.0,9.0
1925177N20089,25.9876,81.4021,0.0,26.0,81.2,272.0,5.0
